aweme_id,aweme_type,title,desc,create_time,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,aweme_url
7224796811700063548,68,伪满皇宫，既是历史的伤疤，也是历史的见证，置身于此地，身临其境的感受那段风云变幻的历史#感受博物馆的力量  #感受博物馆的力量 #与历史对话 #伪满皇宫博物院,伪满皇宫，既是历史的伤疤，也是历史的见证，置身于此地，身临其境的感受那段风云变幻的历史#感受博物馆的力量  #感受博物馆的力量 #与历史对话 #伪满皇宫博物院,1682154101,2085138320852055,MS4wLjABAAAAPBdH65vf2P3aDK1IuRMZbOGIdJqDpp6RrNomnHVSkRaaZl91FxSTX9JUP7uR0WuV,,,,A7-,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_5895c8683d674797a4bf615eca848ca7.jpeg?from=327834062,14351,1115,781,10060,,1712659539581,https://www.douyin.com/video/7224796811700063548
7271194374573133119,0,伪满洲皇宫，看到大厅的设计是不是感觉有些熟悉？#长春 #溥仪 #伪满皇宫博物院 #武宁亚,伪满洲皇宫，看到大厅的设计是不是感觉有些熟悉？#长春 #溥仪 #伪满皇宫博物院 #武宁亚,1693009800,3738785853749095,MS4wLjABAAAA_R80gid2OePYimYHMPsbv_JREdX45p3nKUMKLFRsbFIRkYm6_b9w8ptDB2cwqVUO,,,,乌鸦行为,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_c6b5d6e886214d41a9a79fbc379f0117.jpeg?from=327834062,36965,4971,1471,5168,,1712659539585,https://www.douyin.com/video/7271194374573133119
7352042181458185482,68,#伪满皇宫 #中式恐怖,#伪满皇宫 #中式恐怖,1711780728,76427464517,MS4wLjABAAAASMb7o_DyCy0FWxk3QcXEhzCS97WC_S6LA5cOdIQo-AE,,,,小鱼呆呆脑,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_a3950e8ac3ad4a41ce587f675226d0db.jpeg?from=327834062,37161,1220,408,4535,,1712659539586,https://www.douyin.com/video/7352042181458185482
7055594373483856384,107,参观长春伪满皇宫，他是溥仪，一生三次登基，有过五个老婆,参观长春伪满皇宫，他是溥仪，一生三次登基，有过五个老婆,1642758579,6431477489,,,,,行走世界的北京老刘,https://sf3-cdn-tos.bdxiguastatic.com/img/user-avatar/bd918bcbf6c1aa3113cf2651d3416c00~300x300.image?from=avatar,6907,512,727,1246,,1712659539587,https://www.douyin.com/video/7055594373483856384
7243315506445307148,0,伪满皇宫博物院——是未代皇帝溥仪充当伪满洲国皇帝时宫廷遗址，是国内现存比较完整的宫廷遗址之一，也是日本武力侵占中国东北、推行法西斯殖民统治的最典型的历史见证！伪满皇宫博物院以中和门……版本过低，升级后可展示全部信息,伪满皇宫博物院——是未代皇帝溥仪充当伪满洲国皇帝时宫廷遗址，是国内现存比较完整的宫廷遗址之一，也是日本武力侵占中国东北、推行法西斯殖民统治的最典型的历史见证！伪满皇宫博物院以中和门……版本过低，升级后可展示全部信息,1686465821,59750399931,MS4wLjABAAAAgQlqsXCiUMpN_kkIsoFpQbfDw-jwuMEruNmf6I1Gtu4,,,,华呀,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_2f9b20003763128f7d03c.jpeg?from=327834062,195,3,27,27,,1712659539589,https://www.douyin.com/video/7243315506445307148
7146445216210357542,0,伪满皇宫在长春绝对算被市民忽略的宝藏旅游景点，里面真的值得一去#国庆出游攻略 #长春旅游攻略 #伪满皇宫 #吉致秋天,伪满皇宫在长春绝对算被市民忽略的宝藏旅游景点，里面真的值得一去#国庆出游攻略 #长春旅游攻略 #伪满皇宫 #吉致秋天,1663911451,99402614171,MS4wLjABAAAANCwzHKXvsHa-7Lk1AqqaziX0Wj3VSfYMExkEGilHQS0,,,,195大个个,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_5114a7c63909ea23a4e9fdccb5eea253.jpeg?from=327834062,2144,94,120,374,,1712659539590,https://www.douyin.com/video/7146445216210357542
7247806627515043105,0,#原创作品#我的祖国#吉林·长春·伪满洲国皇宫旧址# 2023年6月18日录制,#原创作品#我的祖国#吉林·长春·伪满洲国皇宫旧址# 2023年6月18日录制,1687511492,118373763521579,MS4wLjABAAAAmREAIYA7CShfhZE2_vSiEzv6GkwEiY_8Xmf7I-3C4Go,,,,凌河右岸,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_4066d0eb139e4846a43f1d332ef88b5b.jpeg?from=327834062,648,36,278,51,,1712659539591,https://www.douyin.com/video/7247806627515043105
7299006300296367370,68,当你走上这条路，就不能再回头 所有的人你都追不上，所有的门你都打不开 #溥仪#溥仪的一生 #伪满皇宫 #博物馆 #初雪  与@BUZZ @奉天小宁Jennings📸 共拍,当你走上这条路，就不能再回头 所有的人你都追不上，所有的门你都打不开 #溥仪#溥仪的一生 #伪满皇宫 #博物馆 #初雪  与@BUZZ @奉天小宁Jennings📸 共拍,1699432342,99432216114,MS4wLjABAAAAsfuHVVs72dgUMQI33tdJkBAc2E7Q_kgMhIGlaQZOalQ,,,,土豆国国国王,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_f1ca26e9c0aa580119221c043f80dbb6.jpeg?from=327834062,74,11,10,71,,1712659539592,https://www.douyin.com/video/7299006300296367370
7257416916543851795,68,伪满皇宫博物院。我的一生就是高墙，从小在王府里是高墙，三岁时进宫当皇帝还是高墙，后来关在旅顺监狱又是高墙。       ——《我的前半生》（爱新觉罗·溥仪）#伪满皇宫博物院 #末代……版本过低，升级后可展示全部信息,伪满皇宫博物院。我的一生就是高墙，从小在王府里是高墙，三岁时进宫当皇帝还是高墙，后来关在旅顺监狱又是高墙。       ——《我的前半生》（爱新觉罗·溥仪）#伪满皇宫博物院 #末代……版本过低，升级后可展示全部信息,1689749061,64240772698,MS4wLjABAAAAN1e0utc00trbMeIUQlUspQR9ghO_HIpZMMnof4BfK_M,,,,7U_,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_0ad613424ed64532b743c6e649b5c37b.jpeg?from=327834062,300,48,5,123,,1712659540710,https://www.douyin.com/video/7257416916543851795
7273798924639522089,68,“他这一生都在高墙里”#伪满皇宫#溥仪,“他这一生都在高墙里”#伪满皇宫#溥仪,1693563293,92833459575,MS4wLjABAAAAluoSihaQLEoNB8aOGktUJJKLnSyh9iE6SPkpAgfqmmk,,,,Vulgar,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_2c23bf33db1d08ad323f3be411b68359.jpeg?from=327834062,365,92,26,485,,1712659540711,https://www.douyin.com/video/7273798924639522089
7116519822954925344,68,悲愤 扼腕 可惜 可悲…#伪满皇宫博物院,悲愤 扼腕 可惜 可悲…#伪满皇宫博物院,1656943893,369027285524776,MS4wLjABAAAApSStwawvkino4ywQ5X-U7wTtT3Nx6_5dZndy78MLoJY,,,,圈圈Zzz,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_fef79ff7fe1869cdf3d47f6a5c042665.jpeg?from=327834062,3682,251,443,541,,1712659540713,https://www.douyin.com/video/7116519822954925344
7140992136773668100,0,伪满皇宫的攻略来了，喜欢的宝子看过来，记得关注我哦？#导游成长计划 #中视频伙伴计划#抖音搜索流量来了#旅行推荐官#吉林省游玩景点推荐 ,伪满皇宫的攻略来了，喜欢的宝子看过来，记得关注我哦？#导游成长计划 #中视频伙伴计划#抖音搜索流量来了#旅行推荐官#吉林省游玩景点推荐 ,1662641799,2005100864746478,MS4wLjABAAAAwFX7W4cEASM5MfehVtA01y4twkRNvvXKNy12f-Hiflt5k12x_-J5W8xf6Eko8dzL,,,,Miss刘探店在路上,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_302423fc5baf4a3ebb787f222146aec8.jpeg?from=327834062,2458,518,414,1218,,1712659540714,https://www.douyin.com/video/7140992136773668100
7259009676740693260,0,国家AAAAA级景点吉林省长春市伪满皇宫博物院旅游攻略#国家aaaaa风景区 #伪满皇宫博物院 #旅游攻略 #旅游 #旅游推荐官,国家AAAAA级景点吉林省长春市伪满皇宫博物院旅游攻略#国家aaaaa风景区 #伪满皇宫博物院 #旅游攻略 #旅游 #旅游推荐官,1690533000,3452892491816212,MS4wLjABAAAA-EIc-n-yxQpm-eT0ycUMtV370g84AyRur_mkIWzr7cHjPA0c2ZSnF6aYWy7lgKxW,,,,木子旅游攻略,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_9f49ebd015664946ba2b2456eb08edec.jpeg?from=327834062,724,421,117,515,,1712659540715,https://www.douyin.com/video/7259009676740693260
7256728770810318132,0,#长春 #伪满皇宫 #旅行推荐官 @DOU+上热门 @DOU+小助手 @抖音小助手 东北最具历史厚重感的地方,#长春 #伪满皇宫 #旅行推荐官 @DOU+上热门 @DOU+小助手 @抖音小助手 东北最具历史厚重感的地方,1689588869,48813186490112,MS4wLjABAAAA86P5k97fNyTUMmmHkB69-Oaft_3SIdYN8dKVtjQ7Tyo,,,,@陈碗饭,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_6ddecd221be24399111a53b6d086ba46.jpeg?from=327834062,169,16,6,28,,1712659540716,https://www.douyin.com/video/7256728770810318132
7319072015111982351,0,关注我们，2024年和吉吉小分队一起游遍吉林吧～ 透过历史缝隙，寻找那些曾被这座末代皇宫深深困住过的人们。#伪满皇宫 #新年第一场旅行 #一场旅行开启2024  #吉林文旅,关注我们，2024年和吉吉小分队一起游遍吉林吧～ 透过历史缝隙，寻找那些曾被这座末代皇宫深深困住过的人们。#伪满皇宫 #新年第一场旅行 #一场旅行开启2024  #吉林文旅,1704104299,3916908084084410,MS4wLjABAAAAhETB5FEfD4gMHiFplMQ7qXQBehGqCCMwPRwk1GM7lEGLKV5uXTTqAeVkPeTPCosf,,,,吉吉小分队,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oIGvCAtUNyIAHgeCAwgOEnfhxHAPAyS2zQAUCO.jpeg?from=327834062,4,0,1,0,,1712659540717,https://www.douyin.com/video/7319072015111982351
7354601177742363954,0,来长春必打卡地伪满皇宫博物院攻略来了#假期游玩 #踏青嗨玩季 #吉林文旅 #大数据推荐给有需要的人 #旅行推荐官,来长春必打卡地伪满皇宫博物院攻略来了#假期游玩 #踏青嗨玩季 #吉林文旅 #大数据推荐给有需要的人 #旅行推荐官,1712376538,2005100864746478,MS4wLjABAAAAwFX7W4cEASM5MfehVtA01y4twkRNvvXKNy12f-Hiflt5k12x_-J5W8xf6Eko8dzL,,,,Miss刘探店在路上,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_302423fc5baf4a3ebb787f222146aec8.jpeg?from=327834062,11,4,15,12,,1712659540719,https://www.douyin.com/video/7354601177742363954
7150593917430271273,68,这里是吉林长春 大清最后的皇帝爱新觉罗·溥仪的居所#伪满皇宫  置身于此地 身临其境的感受那段风云变幻的历史#溥仪 #溥仪的一生 #伪满皇宫 #博物馆,这里是吉林长春 大清最后的皇帝爱新觉罗·溥仪的居所#伪满皇宫  置身于此地 身临其境的感受那段风云变幻的历史#溥仪 #溥仪的一生 #伪满皇宫 #博物馆,1664877390,105000497330,MS4wLjABAAAAniz8mgQbJOm7J0tV6bu0wvI0-Jp7y0b3Ots8C31Zalg,,,,小岳某📸,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_1b2d7a893f8b8cad5543aae1718c20eb.jpeg?from=327834062,1591,198,145,546,,1712659540720,https://www.douyin.com/video/7150593917430271273
