数据库：年度数据
时间：最近10年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
国内游客(百万人次),4890,2530,3246,2879,6006,5539,5001,4435,3990,3611
城镇居民国内游客(百万人次),3760,1928,2342,2065,4471,4119,3677,3195,2802,2483
农村居民国内游客(百万人次),1130,601,904,814,1535,1420,1324,1240,1188,1128
国内旅游总花费(亿元),49133.0,20444.0,29190.7,22286.3,57250.9,51278.3,45660.8,39389.8,34195.1,30311.9
城镇居民国内旅游总花费(亿元),41781.0,16881.3,23644.2,17966.5,47509.0,42590.0,37673.0,32241.9,27610.9,24219.8
农村居民国内旅游总花费(亿元),7353.0,3562.7,5546.6,4319.8,9741.9,8688.3,7987.7,7147.9,6584.2,6092.1
国内旅游人均花费(元),,808.1,899.3,774.1,953.3,925.8,913.0,888.2,857.0,839.7
城镇居民国内旅游人均花费(元),,875.6,1009.6,870.3,1062.6,1034.0,1024.6,1009.1,985.5,975.4
农村居民国内旅游人均花费(元),,592.8,613.6,530.5,634.7,611.9,603.3,576.4,554.2,540.2
数据来源：国家统计局
