数据库：年度数据
时间：最近10年
指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
旅行社数(个),,32603,31001,31074,38943,37309,29717,27939,27621,26650
星级饭店总数(个),,7337,7676,8430,10130,8962,9566,11685,12327,12803
入境游客(万人次),8203.00,,,,14530.78,14119.83,13948.24,13844.38,13382.04,12849.83
外国人入境游客(万人次),,,,,3188.34,3054.29,2916.53,2815.12,2598.54,2636.08
港澳同胞入境游客(万人次),,,,,10729.01,10451.93,10444.59,10456.26,10233.64,9677.16
台湾同胞入境游客(万人次),,,,,613.42,613.61,587.13,573.00,549.86,536.59
入境过夜游客(万人次),,,,,6572.52,6289.57,6073.84,5926.73,5688.57,5562.20
国内居民出境人数(万人次),10096.00,,,,16920.54,16199.34,14272.74,13513.00,12786.00,11659.32
国内居民因私出境人数(万人次),9684.00,,,,16211.43,15501.69,13581.56,12850.00,12172.00,11002.91
国内游客(万人次),489000.00,253000.00,324600.00,287900.00,600600.00,553900.00,500100.00,443500.00,399000.00,361100.00
国际旅游外汇收入(百万美元),53000.00,,,,131254.00,127103.01,123417.00,120000.00,113650.00,105380.00
国内旅游总花费(亿元),49133.00,20444.00,29190.70,22286.30,57250.92,51278.29,45660.77,39389.82,34195.10,30311.86
数据来源：国家统计局
